ID,author,author_id,year,title,booktitle/journal+editor+publisher,pages,type,note_lang,note_theme,pdf_link,url,DOI,ISBN/eISBN,annotator,,,,,
23,"Ландер, Юрий Александрович and Архангельский, Тимофей Александрович","lander-y, arkhangelsky-t",2017,Адыгейский корпус и орфографическое слово,"Адыгейский корпус и орфографическое слово // В кн. : Актуальные проблемы изучения кавказских языков. Материалы международной научно-практической конференции. / Отв. ред.: Д. С. Самедов. Махачкала: Издательство ДГУ, 2017.",99–104,Глава книги,адыгейский,"корпусная лингвистика, морфосинтаксис",https://publications.hse.ru/pubs/share/direct/210437990.pdf,https://publications.hse.ru/chapters/210438005,to_find,,Кумараге,,,,,
24,"Ландер, Юрий Александрович and Мороз, Георгий Алексеевич and Багирокова, Ирина Гаруновна","lander-y, moroz-g, bagirokova-i",2017,О выражении множественных непрямых объектов в адыгейском глаголе,"О выражении множественных непрямых объектов в адыгейском глаголе // В кн. : Становление и развитие младописьменных языков. К 120-летию со дня рождения выдающегося языковеда, основоположника адыгейского языкознания Д.А. Ашхамафа: материалы Международной научной конференции (Майкоп, 21-23 июня 2017 г.). / Сост.: С. Х. Анчек, С. Т. Атажахова. Майкоп: [б.и.], 2017.",23–27,Глава книги,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/direct/213560803.pdf,https://publications.hse.ru/view/213554712,to_find,,Кумараге,,,,,
25,"Lander, Yury",lander-y,2016,Adyghe,"Word Formation. An International Handbook of the Languages of Europe. / Ed. by P. Müller, I. Ohnheiser, S. Olsen, F. Rainer. Vol. 5 Berlin, NY: De Gruyter Mouton, 2016. Ch. 193.",3508–3527,Глава книги,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/u97q3fhv2u/97564375.pdf,https://doi.org/10.1515/9783110424942-025,10.1515/9783110424942-025,,Кумараге,,,,,
26,"Lander, Yury",lander-y,2016,Kabardian universal concessive conditionals,Kabardian universal concessive conditionals // RHEMA. 2016. No. 2.,44–66,Статья,кабардинский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/s51guvfv30/198250270.pdf,https://publications.hse.ru/articles/187608758,to_find,,Кумараге,,,,,
27,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна","lander-y, bagirokova-i",2016,Адыгский аналитический аддитив: порядок слов и диахрония,Адыгский аналитический аддитив: порядок слов и диахрония // Томский журнал лингвистических и антропологических исследований. 2016. № 2 (12).,9–19,Статья,адыгейский,морфосинтаксис,https://ling.tspu.ru/files/ling/PDF/articles/bagirokova_i._g._9_19_2_12_2016.pdf,https://publications.hse.ru/articles/186821460,to_find,,Кумараге,,,,,
28,"Lander, Yury and Arkhangelsky, Timofey","lander-y, arkhangelsky-t",2015,Producing polysynthetic verb forms in West Circassian (Adyghe): an experimental study,"Producing polysynthetic verb forms in West Circassian (Adyghe): an experimental study / NRU HSE. Series WP BRP ""Linguistics"". 2015. No. 23/LNG/2015.",,Препринт,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/dxvsa24768/148093457.pdf,https://doi.org/10.2139/ssrn.2668079,10.2139/ssrn.2668079,,Кумараге,,,,,
29,"Lander, Yury and Arkhangelsky, Timofey","lander-y, arkhangelsky-t",2015,Some challenges of the West Circassian polysynthetic corpus,"Some challenges of the West Circassian polysynthetic corpus / NRU HSE. Series WP BRP ""Linguistics"". 2015. No. 37/LNG/2015.",,Препринт,адыгейский,"корпусная лингвистика, морфосинтаксис",https://publications.hse.ru/pubs/share/folder/md1z4x96la/168466234.pdf,https://doi.org/10.2139/ssrn.2709027,10.2139/ssrn.2709027,,Кумараге,,,,,
30,"Lander, Yury and Bagirokova, Irina","lander-y, bagirokova-i",2015,Two-faced subordination marker in West Circassian necessity constructions,"Two-faced subordination marker in West Circassian necessity constructions / NRU HSE. Series WP BRP ""Linguistics"". 2015. No. 38/LNG/2015.",,Препринт,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/719tmg3xdt/168465962.pdf,https://doi.org/10.2139/ssrn.2709028,10.2139/ssrn.2709028,,Кумараге,,,,,
31,"Ландер, Юрий Александрович",lander-y,2015,Актанты и сирконстанты в морфологии и в синтаксисе адыгейского языка,Актанты и сирконстанты в морфологии и в синтаксисе адыгейского языка // Вестник РГГУ. Серия: История. Филология. Культурология. Востоковедение. 2015. № 1.,7–31,Статья,адыгейский,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/lg6lrl9eki/148243477.pdf,https://publications.hse.ru/articles/146428869,to_find,,Кумараге,,,,,
32,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна","lander-y, bagirokova-i",2015,Именная инкорпорация в адыгейском языке,"IV Международный симпозиум лингвистов-кавказоведов. Вопросы структуры основы и корня иберийско-кавказских языков. / Отв. ред.: В. Шенгелиа. Тб.: [б.и.], 2015.",104–106,Тезисы,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/6cq2pflf69/167390808.pdf,https://publications.hse.ru/chapters/167390819,to_find,,Кумараге,,,,,
